participant_id,payment
5ec3eabec8f93307a60c5d1b,2.00
62b74ec256808d84b3e691d6,2.00
6791f6dd715489698cb9523e,2.80
661ffc54a056bd10dc4b95a1,2.00
636d6ce3fb3683ff33f9e514,2.00
65b571deec1559505fc20ac3,1.00
67d26693b095f1a0dcbd57a5,2.01
5f4c175e219f12824882c23d,3.00
65fc95c627592d85499ae358,2.00
60e6d87ad1de7a97c3f50c20,3.00
695c0d0826bfa6a67f9d13ed,2.60
68d4401a239d0533f8a66382,1.00
5cfbf333ac28dd00196e807b,3.00
65f1ea9f38d54225b7b8da86,3.00
5e076480c4e1550e2114f006,3.00
5bf2e3ee6d4c3e00014420d6,3.00
5dd56e51954d1952f17bb57b,3.00
60827e52a046c9b82574d391,3.00
6930a7a621b861f0a3542456,0.20
5f6e76757befe43b22307387,3.00
605f856a958ba27c0300c200,3.00
60fd39703a387e7cfb6893b7,1.00
5dd3e3cd5daaa63c5fdb7bb8,3.00
5e80e70d3c00ce7d6fdb69ef,3.00
5d55d43e25dd4c00174122dc,2.00
5f802c981bc48a0105a3c641,3.00
615200d54efc832849db2259,2.00
5e5521580ee1b951df544c3c,2.00
676059a89a0c103ec2d1f45e,3.00
562a00dac8ffc20012513fbe,3.00
5f97f80e8279d602b5dfd6b1,3.00
5ed02ffb8090240f93ab74ad,3.00
637ffd0ae752c8e33f91798b,1.00
65c946a203b1a88740b02e52,1.00
681b781064a5701a5ceee3bc,2.00
